"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
3,0.3,0.5,0.5,0.3,0.110312149649478,0.0923724223464588,0.0997316432653211,0.0560152733453523,0.000607905243725623,0.0888855993312833,-0.00711194634878559,0.00687092867092544,0.100045873881303,0.100698760665019
3,0.3,0.5,0.5,0.4,0.114770417640855,0.100941266026689,0.0963619243005407,0.077507809269176,-0.00102755697516786,0.09387344957997,-0.00791280697535844,-0.00338568102781978,0.100033240465703,0.100496739266501
3,0.3,0.5,1,0.3,0.101440993409258,0.106172947402191,0.0890501001606409,0.0803758861420159,0.00564433229186011,0.0968678743490084,-0.00990147011004173,-0.00159545910277317,0.100579679929409,0.102654775555598
3,0.3,0.5,1,0.4,0.122587640517317,0.0986088816258258,0.0931947841163539,0.0847762161185407,-0.00111220036693738,0.0950586667945371,-0.000636103971726597,-0.00255182991016087,0.10039445626137,0.101621709983595
3,0.3,1,0.5,0.3,0.114256557116853,0.104681096564265,0.102690541783812,0.0703832616568315,0.00153146537368671,0.0920563648322632,0.00524594548012856,0.0144162550691991,0.100122170300922,0.101396669496927
3,0.3,1,0.5,0.4,0.107097004618451,0.0973447180633569,0.0911896240430184,0.0902506101770154,-0.00451267224828029,0.0913113607870474,-0.00862696006887418,-0.00150138306647059,0.100119420491311,0.100817674192336
3,0.3,1,1,0.3,0.106174412585317,0.111552068556423,0.0913202147766987,0.0697310205164888,-0.00187683464171723,0.0977551995021663,-0.00688371865529726,-0.00350679313117375,0.100241189995355,0.101251219331211
3,0.3,1,1,0.4,0.1005216669189,0.104248893931552,0.100085418756033,0.0858512295068707,0.00046223573319788,0.0965259245730491,-0.00599247765468306,0.00117529165265439,0.100265134034945,0.101276486273908
3,0.5,0.5,0.5,0.3,0.0944460792858039,0.106642393056248,0.0844168032493962,0.0692321392181174,0.0019717998723246,0.0959849864936694,-0.00763247018563727,-0.00898204540378658,0.100033546525365,0.10067038336975
3,0.5,0.5,0.5,0.4,0.116499285520296,0.0946866732696619,0.102556310224824,0.0557146469044068,0.000525777669873475,0.0923766174743267,-0.00841740161463118,0.00537227195484275,0.100038557906192,0.100593352751529
3,0.5,0.5,1,0.3,0.140510379440234,0.0966285011830563,0.0991020262199299,0.0529944742053901,0.0050812947695657,0.0934796595313086,0.00127319762480872,0.000745928493869436,0.100589925897717,0.102418186287525
3,0.5,0.5,1,0.4,0.0968428096456838,0.102350563273956,0.100336401798563,0.0750293289251086,0.0016459651065417,0.0972948921388209,0.005468958083161,0.000484841055391277,0.100566196891775,0.102141890750147
3,0.5,1,0.5,0.3,0.101555207834414,0.0977454644503234,0.0899271291846595,0.0689383132128107,-0.00714606346949568,0.0910383300948021,-0.000737174478917163,-0.00179805172746404,0.10019617034017,0.101182346562356
3,0.5,1,0.5,0.4,0.112584164238442,0.100328100914972,0.107486783416901,0.0891360158997834,-3.90968502369026e-05,0.0940758522653788,-0.00245816122565719,0.0072992551834833,0.100162847584859,0.101210469743464
3,0.5,1,1,0.3,0.09936025092872,0.104284129302952,0.0991994044181017,0.0798731011922422,0.0003633567306305,0.0957720383703004,-0.00149008753639942,0.00579306625800673,0.100255652904303,0.101281508701415
3,0.5,1,1,0.4,0.112961642902808,0.100975328715362,0.0980928185579115,0.0972837053409981,0.00323601215640161,0.0959206243481164,-0.00873482141456134,0.000884088770164263,0.100247557464218,0.101122596681531
5,0.3,0.5,0.5,0.3,0.116384728007902,0.0961011676680601,0.105369383385184,0.0734146289392289,0.00537049894899839,0.0915741127587128,-0.0035768672671004,0.00566458829110564,0.100014246506227,0.100828804311891
5,0.3,0.5,0.5,0.4,0.105996380623272,0.1081317530654,0.0949199368298901,0.0874757612250788,0.0012915562341186,0.0985825954053015,0.00328687181292529,-0.00282238710602838,0.100009797068032,0.100629764984048
5,0.3,0.5,1,0.3,0.09783514093406,0.114575878755063,0.0994617366052936,0.0720652829260537,-0.00586324430084502,0.101699767961839,0.00595037343281757,-0.00315045346317985,0.100635522152235,0.103245858394267
5,0.3,0.5,1,0.4,0.110005506151169,0.108694758626324,0.0947981927442559,0.0857953040893212,-0.00124005288471207,0.100456433968257,0.0151665785205737,-0.00549146693092706,0.100656919342196,0.103273907185037
5,0.3,1,0.5,0.3,0.101555154067006,0.104095640581019,0.0979936059928802,0.0707976606317416,5.32935059026467e-05,0.0951361110081588,0.0145694769535546,0.00619797884729761,0.100113343834167,0.101314863661726
5,0.3,1,0.5,0.4,0.109124423417713,0.101094158033214,0.0958920212927868,0.0786818766621654,-0.00297100611150482,0.0952354424742206,0.00552180674450857,0.00201642454881198,0.1000774166223,0.100781328125973
5,0.3,1,1,0.3,0.110534760339394,0.101410253461457,0.0959696616009782,0.0740362818766696,0.00504530378733849,0.0957054931312815,-0.00697864162193104,0.00202161101847623,0.10039341894252,0.101562489206806
5,0.3,1,1,0.4,0.103816779887478,0.102778399434152,0.095605321350994,0.094747214619487,-0.00385180789094104,0.0976310882896284,-0.00394027552270398,0.0042395982060117,0.100492183863575,0.102028174245955
5,0.5,0.5,0.5,0.3,0.112515429802039,0.102649390106291,0.0915983464649102,0.0707364309778398,-0.000464406286429116,0.0960087640818378,0.00580582099469297,0.00353289863085892,0.100020519966446,0.100662145536787
5,0.5,0.5,0.5,0.4,0.109734126492591,0.099595732331903,0.11201781061993,0.0751288836258966,0.00521191500859087,0.0960247289091613,-0.00818296934693182,-0.00241356216759708,0.0999880243574298,0.100466615656381
5,0.5,0.5,1,0.3,0.110399800781157,0.0994466973918348,0.103255532565177,0.0720176745968853,0.00238823575977662,0.0956231085991445,0.00471694691416089,-0.0166512143104023,0.100425402478743,0.101801828607725
5,0.5,0.5,1,0.4,0.10226673764218,0.109609391962564,0.0917896296203528,0.0788063373760212,-0.00407154082009065,0.101765504049198,-0.00654599733650291,-0.00493507858397753,0.100451329944027,0.102360026464396
5,0.5,1,0.5,0.3,0.105145464356204,0.0977008180592468,0.109947528481822,0.0724163460173502,-0.00545418289561041,0.0937483509775355,-0.014180190060985,-0.0145507551337742,0.100150334558921,0.101359217457911
5,0.5,1,0.5,0.4,0.102675128380282,0.100446191654382,0.0973374960620057,0.0897252748647249,0.00360456723169691,0.0963642694234859,0.00896552490963611,0.00274573816850354,0.100117684316018,0.101048944270479
5,0.5,1,1,0.3,0.11657162262523,0.106586258555104,0.0989191511590209,0.0603673876431441,-0.00522290856274204,0.0983762050056682,-0.000137206274904036,-0.000923117363311425,0.100661653450603,0.102124063376516
5,0.5,1,1,0.4,0.100528684741605,0.106601042045215,0.0951043704120007,0.0908740447592796,-0.000167233113434763,0.100159562719393,0.00137869633681332,-0.00501884549488686,0.100431712241467,0.101946713876962
