"","sd","se_mean"
"theta[1]",0.171611524166484,0.00486491942336593
"theta[2]",0.158688080484827,0.00445526922660534
"theta[3]",0.156678877461726,0.0040032338816751
"theta[4]",0.16807316739153,0.00429429900657227
"theta[5]",0.16441575449055,0.00402312454797177
"theta[6]",0.166403110466217,0.00427186794597871
"theta[7]",0.172805857490345,0.00460284877606814
"theta[8]",0.167281357923183,0.00458688264812249
"theta[9]",0.181988596479306,0.00468476835155089
"theta[10]",0.168682103813025,0.0042951650777461
"theta[11]",0.17342474514176,0.00435443131701681
"theta[12]",0.171781939037446,0.00437100219372983
"theta[13]",0.166268688893206,0.0046953939824007
"theta[14]",0.201639050091172,0.00540349839328372
"theta[15]",0.160759465465688,0.00410774697963266
"theta[16]",0.17500439491017,0.00462689539849079
"theta[17]",0.165339855903019,0.00417693352775732
"theta[18]",0.166322692459202,0.0044930402702571
"theta[19]",0.18554215819176,0.00491776909614054
"theta[20]",0.170700302822629,0.00441509699604926
"theta[21]",0.17334504176532,0.00467551981849982
"theta[22]",0.16439417285655,0.0043703602479617
"theta[23]",0.186254391788115,0.00488012344031273
"theta[24]",0.170168061628668,0.00421343672524714
"theta[25]",0.168038889446962,0.0043151322147805
"theta[26]",0.170012650574556,0.00449277898957866
"theta[27]",0.181634457643135,0.00469266712963383
"theta[28]",0.176909594519697,0.00463625480545784
"theta[29]",0.167715854063735,0.00431428477699585
"theta[30]",0.168632878657108,0.00488261592013246
"theta[31]",0.191052995615187,0.00486798813675235
"theta[32]",0.176598729009444,0.00467776621629853
"theta[33]",0.168206615432617,0.00410245493832157
"theta[34]",0.171649893004269,0.00462719917369181
