"","sd","se_mean"
"theta[1]",0.135230100960029,0.00376643146184769
"theta[2]",0.132673589691502,0.00340368211441624
"theta[3]",0.129540940174288,0.00316254930479093
"theta[4]",0.140124435314151,0.0036289074246693
"theta[5]",0.125861066466067,0.00349690860746989
"theta[6]",0.13927571457599,0.00370219415842394
"theta[7]",0.142759799186298,0.00414295544183203
"theta[8]",0.129355262369379,0.00367832167341282
"theta[9]",0.158917695677824,0.00467835405748223
"theta[10]",0.135025003821869,0.00391098013321633
"theta[11]",0.141834989651703,0.00438247599307712
"theta[12]",0.136338706883015,0.00393468947768808
"theta[13]",0.144603372983096,0.00360790695264282
"theta[14]",0.171476281151874,0.00518655025380016
"theta[15]",0.134134697242855,0.00348714540346363
"theta[16]",0.147679550815249,0.00409496353523773
"theta[17]",0.132026379692505,0.0034869871663817
"theta[18]",0.139267899514819,0.00363450628779817
"theta[19]",0.157873432748696,0.00462517409456445
"theta[20]",0.133850676587164,0.00335446697806668
"theta[21]",0.131479388199367,0.00369222350224181
"theta[22]",0.130474235467185,0.00354341292810375
"theta[23]",0.158125068168213,0.00436144068443392
"theta[24]",0.142552585160348,0.00404440925964084
"theta[25]",0.131409309358152,0.0036580668206793
"theta[26]",0.130209383426872,0.0035545788625289
"theta[27]",0.147452845668476,0.00422421525540981
"theta[28]",0.14252690528325,0.00382514908429044
"theta[29]",0.129775798255203,0.00346095003574206
"theta[30]",0.13229110343152,0.00348429318477556
"theta[31]",0.159177686034812,0.00481752745749176
"theta[32]",0.134154843355899,0.00368092849317791
"theta[33]",0.128080231238552,0.00333033944923034
"theta[34]",0.140330256532651,0.00388247180200947
