"","sd","se_mean"
"theta[1]",0.174868506358169,0.0168575804219036
"theta[2]",0.179467770723643,0.0168537306144383
"theta[3]",0.180219601024504,0.0174125947677662
"theta[4]",0.178792932654099,0.0180698495521623
"theta[5]",0.174846512689992,0.016682821304806
"theta[6]",0.176658082215895,0.016005289492459
"theta[7]",0.184537079315522,0.0184841386919346
"theta[8]",0.178599500402065,0.0184476914838063
"theta[9]",0.175812196275279,0.0174673674726921
"theta[10]",0.17274756026906,0.0167814293054591
"theta[11]",0.176922912413447,0.0166646320913634
"theta[12]",0.175075024297656,0.0162707952274411
"theta[13]",0.175048956364028,0.0166417432013016
"theta[14]",0.17081076055849,0.0163485911939561
"theta[15]",0.18167015112141,0.0181830562976571
"theta[16]",0.187585258440528,0.0167054227426751
"theta[17]",0.171809131601923,0.0164554060533687
"theta[18]",0.174184986065961,0.0162446318275016
"theta[19]",0.17412955086186,0.0175624041215529
"theta[20]",0.177181599363251,0.0175080605608476
"theta[21]",0.171259565996728,0.0189209121459623
"theta[22]",0.175619759525066,0.0177355192364405
"theta[23]",0.184365885434973,0.0165439104716896
"theta[24]",0.180470284748059,0.0168001866743115
"theta[25]",0.172828060492836,0.0168207607079253
"theta[26]",0.174815700648699,0.0169026935029869
"theta[27]",0.176973425255494,0.0160957327456388
"theta[28]",0.173857046862794,0.0166741027399987
"theta[29]",0.178370391678808,0.0168926986874463
"theta[30]",0.171956424911374,0.0169827821694145
"theta[31]",0.172557941400863,0.0169477137116312
"theta[32]",0.177246249607348,0.0173811479025246
"theta[33]",0.17550877753683,0.0205701891454229
"theta[34]",0.177153138434511,0.018219274485483
