ExamineeID,TaskID,RaterID,Score,Order,Date
31,0,1,4,1,2015/12/21 15:58
2,0,1,4,2,2015/12/21 21:21
17,0,1,2,3,2015/12/21 21:23
11,0,1,3,4,2015/12/21 21:24
27,0,1,1,5,2015/12/21 21:25
5,0,1,3,6,2015/12/21 21:26
4,0,1,3,7,2015/12/21 21:27
25,0,1,4,8,2015/12/21 21:28
32,0,1,3,9,2015/12/21 21:33
29,0,1,2,10,2015/12/21 21:37
1,0,1,4,11,2015/12/21 21:39
24,0,1,1,12,2015/12/21 21:39
33,0,1,5,13,2015/12/21 21:40
12,0,1,4,14,2015/12/21 21:41
13,0,1,2,15,2015/12/21 21:41
20,0,1,4,16,2015/12/21 21:43
26,0,1,4,17,2015/12/21 21:44
30,0,1,1,18,2015/12/21 21:44
6,0,1,5,19,2015/12/21 21:45
16,0,1,2,20,2015/12/21 21:46
14,0,1,5,21,2015/12/21 21:47
3,0,1,2,22,2015/12/21 21:47
18,0,1,3,23,2015/12/21 21:48
23,0,1,2,24,2015/12/21 21:48
9,0,1,5,25,2015/12/21 22:22
28,0,1,2,26,2015/12/21 22:23
8,0,1,3,27,2015/12/21 22:23
10,0,1,3,28,2015/12/21 22:25
34,0,1,2,29,2015/12/21 22:25
7,0,1,4,30,2015/12/21 22:26
22,0,1,2,31,2015/12/21 22:27
19,0,1,2,32,2015/12/21 22:28
15,0,1,4,33,2015/12/21 22:29
21,0,1,2,34,2015/12/21 22:30
31,0,2,4,1,2015/12/11 10:59
2,0,2,3,2,2015/12/11 11:21
17,0,2,3,3,2015/12/11 11:22
11,0,2,3,4,2015/12/11 11:24
27,0,2,1,5,2015/12/11 11:25
5,0,2,3,6,2015/12/11 11:27
4,0,2,2,7,2015/12/11 11:28
25,0,2,4,8,2015/12/11 11:28
32,0,2,3,9,2015/12/11 11:31
29,0,2,4,10,2015/12/11 11:32
1,0,2,4,11,2015/12/11 11:36
24,0,2,1,12,2015/12/11 11:42
33,0,2,3,13,2015/12/11 11:43
12,0,2,4,14,2015/12/11 11:45
13,0,2,1,15,2015/12/11 13:21
20,0,2,4,16,2015/12/11 13:22
26,0,2,2,17,2015/12/11 13:24
30,0,2,3,18,2015/12/11 13:48
6,0,2,1,19,2015/12/11 13:49
16,0,2,1,20,2015/12/11 13:56
14,0,2,5,21,2015/12/11 14:00
3,0,2,3,22,2015/12/11 14:04
18,0,2,1,23,2015/12/11 14:08
23,0,2,1,24,2015/12/11 14:08
9,0,2,4,25,2015/12/11 14:09
28,0,2,5,26,2015/12/11 14:10
8,0,2,4,27,2015/12/11 14:12
10,0,2,5,28,2015/12/11 14:13
34,0,2,4,29,2015/12/11 14:13
7,0,2,4,30,2015/12/11 14:16
22,0,2,4,31,2015/12/11 14:17
19,0,2,1,32,2015/12/11 14:17
15,0,2,2,33,2015/12/11 14:18
21,0,2,4,34,2015/12/11 14:19
31,0,3,5,1,2015/12/11 15:22
2,0,3,3,2,2015/12/11 15:24
17,0,3,3,3,2015/12/11 15:25
11,0,3,4,4,2015/12/11 15:27
27,0,3,2,5,2015/12/11 15:28
5,0,3,3,6,2015/12/11 15:29
4,0,3,2,7,2015/12/11 17:37
25,0,3,3,8,2015/12/11 17:38
32,0,3,5,9,2015/12/11 17:39
29,0,3,4,10,2015/12/11 17:39
1,0,3,5,11,2015/12/11 17:40
24,0,3,1,12,2015/12/11 17:41
33,0,3,2,13,2015/12/11 17:44
12,0,3,4,14,2015/12/11 17:45
13,0,3,2,15,2015/12/11 17:48
20,0,3,3,16,2015/12/11 17:48
26,0,3,3,17,2015/12/11 17:49
30,0,3,3,18,2015/12/11 17:50
6,0,3,3,19,2015/12/11 17:51
16,0,3,2,20,2015/12/11 17:52
14,0,3,3,21,2015/12/11 17:54
3,0,3,4,22,2015/12/11 17:55
18,0,3,2,23,2015/12/11 17:57
23,0,3,1,24,2015/12/11 17:57
9,0,3,3,25,2015/12/11 17:58
28,0,3,2,26,2015/12/11 18:00
