"","sd","se_mean"
"theta[1]",0.218557049753223,0.0122682808178625
"theta[2]",0.226600641445832,0.0130297751615652
"theta[3]",0.211925710668645,0.011132786047723
"theta[4]",0.210730858944016,0.0126934043792652
"theta[5]",0.205829674710092,0.0130081241949458
"theta[6]",0.210147573729966,0.0119538750049448
"theta[7]",0.236868377525295,0.0119392760006947
"theta[8]",0.21910956592835,0.0125652275734155
"theta[9]",0.216415476349437,0.0120020425428475
"theta[10]",0.209868400477186,0.0138873546489296
"theta[11]",0.210165932828773,0.0121726727116731
"theta[12]",0.217049529040898,0.0118490936268871
"theta[13]",0.205891836753137,0.0130634557543505
"theta[14]",0.204737949978293,0.0127345665661924
"theta[15]",0.226486947949775,0.0118369952288179
"theta[16]",0.221118094240487,0.0136646953585165
"theta[17]",0.214103932287862,0.0116653015161255
"theta[18]",0.216061880896137,0.013309023065079
"theta[19]",0.208174977424259,0.0131947426898566
"theta[20]",0.217251310244959,0.0133761476705555
"theta[21]",0.213339159434665,0.0122828577394072
"theta[22]",0.210176125532926,0.0126763300186011
"theta[23]",0.212722451788247,0.0131483899000928
"theta[24]",0.201788945205701,0.012538815005455
"theta[25]",0.211100851579161,0.0113116568645181
"theta[26]",0.216995435881501,0.0126072284626987
"theta[27]",0.208661599152263,0.013579302275904
"theta[28]",0.211220095620442,0.0132260499493835
"theta[29]",0.21456373526253,0.0122863090270626
"theta[30]",0.21261288676304,0.0128363557587528
"theta[31]",0.212323872584779,0.0125775826205545
"theta[32]",0.218779499180075,0.0118619671583328
"theta[33]",0.219595502610719,0.0126640425108721
"theta[34]",0.214587687658434,0.0119929028618744
