"","sd","se_mean"
"theta[1]",0.184781121712544,0.0160333843888164
"theta[2]",0.193275827827324,0.0164645540006547
"theta[3]",0.194262538267465,0.0164265332948738
"theta[4]",0.187878644940683,0.016019576683632
"theta[5]",0.180847981585623,0.0156288165904647
"theta[6]",0.18482448100128,0.0162922879494067
"theta[7]",0.194699710812483,0.0155598282188841
"theta[8]",0.186846536829707,0.0157180674857624
"theta[9]",0.188685615607258,0.0163393218986542
"theta[10]",0.181165634408517,0.0166548474589618
"theta[11]",0.189650492299817,0.0161894785605651
"theta[12]",0.18168854990901,0.0160610179154648
"theta[13]",0.183672690587571,0.0165281859156635
"theta[14]",0.184136967208814,0.0161479947607952
"theta[15]",0.196511773522158,0.0167431035296912
"theta[16]",0.197590770692475,0.0157506770043344
"theta[17]",0.188141832696885,0.015893013504318
"theta[18]",0.182422195124202,0.015985930463769
"theta[19]",0.183840271577266,0.015992153481216
"theta[20]",0.18541867222301,0.0165117014649748
"theta[21]",0.184150540019588,0.0157863675927836
"theta[22]",0.181784865049884,0.0162685242063236
"theta[23]",0.19228270600629,0.0155257210437263
"theta[24]",0.184866792060301,0.0155818721390759
"theta[25]",0.185159764458538,0.0161549925764611
"theta[26]",0.188765236168457,0.015240641135557
"theta[27]",0.189674858765899,0.0153870705594852
"theta[28]",0.189537645724272,0.0164412620881577
"theta[29]",0.187931208766527,0.0151893948458484
"theta[30]",0.182578060182101,0.0152673490199485
"theta[31]",0.183132205638855,0.0169185687648264
"theta[32]",0.185292868805589,0.0154932611692532
"theta[33]",0.182996071413314,0.0158385829883942
"theta[34]",0.185423809746091,0.0158540775689928
