"","sd","se_mean"
"theta[1]",0.157896136959666,0.00968316789872417
"theta[2]",0.166832622321831,0.0103615348659511
"theta[3]",0.165457391525228,0.0101305269007825
"theta[4]",0.160365419293509,0.0100856821141976
"theta[5]",0.161981228726949,0.00970493527969018
"theta[6]",0.162723747273831,0.0101286720207285
"theta[7]",0.168241689075024,0.0107986479128073
"theta[8]",0.165807923572728,0.0105192295652731
"theta[9]",0.159747121775831,0.00983858195732051
"theta[10]",0.157781497697904,0.00944064248546662
"theta[11]",0.160986695114283,0.00970984787355904
"theta[12]",0.160960328054487,0.00989517177546826
"theta[13]",0.156453452888651,0.00953759561057642
"theta[14]",0.160701723524217,0.00951008855129106
"theta[15]",0.174209688848069,0.010962994205139
"theta[16]",0.166881569066924,0.0101074819335435
"theta[17]",0.159592125807572,0.00982635280075887
"theta[18]",0.161417660436752,0.00957090428477612
"theta[19]",0.161385772361532,0.00974494468966404
"theta[20]",0.162880288271184,0.00958079044527657
"theta[21]",0.167023970685115,0.0100130411660936
"theta[22]",0.159375150194092,0.00966001677169685
"theta[23]",0.166454606480213,0.0101095350508309
"theta[24]",0.167202928610974,0.0100045436141701
"theta[25]",0.161064624780199,0.00951296392569098
"theta[26]",0.161402209590167,0.00999501447859933
"theta[27]",0.162688281525535,0.00958915302142747
"theta[28]",0.159287112171694,0.00985956117480538
"theta[29]",0.168270280252663,0.00993926692077888
"theta[30]",0.159610736156809,0.00953867344995895
"theta[31]",0.162772484552158,0.00991130072417923
"theta[32]",0.168717624900304,0.0104809828496922
"theta[33]",0.159473764041364,0.0097499850656478
"theta[34]",0.15939419796744,0.00967818486242591
