"","sd","se_mean"
"theta[1]",0.189096604902588,0.0329942103387917
"theta[2]",0.190399185866326,0.0248644331894104
"theta[3]",0.19718941798449,0.0258050417836576
"theta[4]",0.190273349907364,0.0319176748331073
"theta[5]",0.185423636767115,0.0388825891554149
"theta[6]",0.184840427677989,0.0332931244807412
"theta[7]",0.200933335753513,0.0255060378182309
"theta[8]",0.192427045110653,0.0273612485891158
"theta[9]",0.184500608218981,0.0325135191939939
"theta[10]",0.189885857899187,0.0428524547634339
"theta[11]",0.183129210265913,0.0326979805601344
"theta[12]",0.189045530937875,0.035112456732939
"theta[13]",0.185709559325628,0.0330688892242044
"theta[14]",0.185439340758484,0.0449239186181155
"theta[15]",0.194322296792617,0.0264218959034202
"theta[16]",0.194629071989272,0.0443093641518418
"theta[17]",0.182918273407688,0.0374834311017315
"theta[18]",0.187987609645689,0.0428694543672754
"theta[19]",0.194461724014073,0.0337217958029132
"theta[20]",0.187798384318646,0.0413296625210089
"theta[21]",0.184717251921565,0.0303447671804954
"theta[22]",0.182621085813592,0.0349862346616605
"theta[23]",0.190012206137766,0.0474419482163312
"theta[24]",0.188475502987517,0.0481727763424401
"theta[25]",0.187026621523203,0.0305079438262157
"theta[26]",0.192258875933168,0.0291307626637583
"theta[27]",0.195233537927117,0.0503083433528359
"theta[28]",0.185033834391673,0.0358673166246427
"theta[29]",0.188315725402582,0.0247599468262289
"theta[30]",0.180377931248585,0.0450387969241628
"theta[31]",0.181743260983809,0.0373434450986729
"theta[32]",0.185051307479432,0.0252805515106974
"theta[33]",0.183558656260989,0.0355036738172455
"theta[34]",0.184662784012095,0.0359350776919854
