ExamineeID,Score,RaterID,Order
114,5,1,1
125,4,1,1
69,3,1,1
3,5,1,1
34,2,1,1
44,5,1,1
117,5,1,1
11,5,1,1
65,4,1,1
62,5,1,1
7,2,1,1
54,3,1,1
63,4,1,1
4,5,1,1
96,4,1,1
53,3,1,1
25,4,1,1
100,5,1,1
47,5,1,1
104,2,1,1
93,2,1,1
5,2,1,1
87,3,1,1
124,4,1,1
116,4,1,1
88,5,1,1
112,5,1,1
38,4,1,1
118,4,1,1
60,5,1,1
84,5,1,1
46,3,1,2
57,3,1,2
39,5,1,2
111,4,1,2
105,4,1,2
126,3,1,2
107,5,1,2
42,3,1,2
110,4,1,2
51,4,1,2
106,2,1,2
52,4,1,2
134,3,1,2
90,4,1,2
9,4,1,2
19,4,1,2
98,4,1,2
18,4,1,2
35,3,1,2
97,4,1,2
131,4,1,2
48,3,1,2
59,4,1,2
95,4,1,2
123,3,1,2
28,4,1,2
68,4,1,2
20,5,1,2
31,5,1,2
43,4,1,2
1,3,1,3
15,3,1,3
23,4,1,3
29,3,1,3
91,3,1,3
102,2,1,3
27,4,1,3
72,3,1,3
13,2,1,3
80,3,1,3
26,3,1,3
113,2,1,3
22,2,1,3
12,3,1,3
32,3,1,3
67,3,1,3
8,3,1,3
73,3,1,3
101,4,1,3
30,3,1,3
74,3,1,3
58,3,1,3
37,3,1,3
56,3,1,3
21,3,1,3
75,2,1,3
121,3,1,3
115,3,1,3
33,3,1,3
108,3,1,3
61,2,1,4
133,3,1,4
6,1,1,4
14,4,1,4
132,3,1,4
79,2,1,4
41,2,1,4
45,2,1,4
77,3,1,4
83,3,1,4
36,2,1,4
129,3,1,4
10,3,1,4
109,3,1,4
119,2,1,4
81,3,1,4
127,1,1,4
55,3,1,4
71,3,1,4
76,3,1,4
82,3,1,4
85,3,1,4
64,3,1,4
103,3,1,4
99,2,1,4
122,3,1,4
24,3,1,4
17,2,1,4
70,3,1,4
49,3,1,4
89,2,1,4
16,2,1,4
128,3,1,4
92,3,1,4
86,3,1,4
50,3,1,4
78,3,1,4
2,3,1,4
120,3,1,4
40,3,1,4
130,3,1,4
94,3,1,4
66,3,1,4
85,2,2,1
110,2,2,1
7,1,2,1
36,1,2,1
122,3,2,1
70,1,2,1
104,3,2,1
132,4,2,1
16,1,2,1
1,1,2,1
103,2,2,1
65,2,2,1
66,2,2,1
115,3,2,1
33,2,2,1
111,4,2,1
128,1,2,1
30,4,2,1
17,1,2,1
124,1,2,1
5,1,2,1
4,4,2,1
113,3,2,1
20,2,2,1
109,2,2,1
83,3,2,1
14,2,2,1
75,1,2,1
97,1,2,1
72,3,2,1
73,1,2,1
123,2,2,2
133,2,2,2
108,3,2,2
28,4,2,2
116,1,2,2
96,2,2,2
46,2,2,2
54,1,2,2
35,2,2,2
34,2,2,2
118,2,2,2
117,2,2,2
45,2,2,2
22,3,2,2
59,2,2,2
131,4,2,2
119,1,2,2
77,3,2,2
44,2,2,2
84,5,2,2
60,3,2,2
29,5,2,2
40,3,2,2
2,5,2,2
56,2,2,2
62,3,2,2
121,2,2,2
134,1,2,2
126,3,2,2
6,2,2,2
100,5,2,3
15,4,2,3
89,2,2,3
102,4,2,3
50,2,2,3
105,3,2,3
12,2,2,3
82,3,2,3
55,2,2,3
80,4,2,3
76,3,2,3
63,2,2,3
39,5,2,3
26,3,2,3
92,2,2,3
74,1,2,3
52,4,2,3
69,2,2,3
21,2,2,3
130,1,2,3
93,1,2,3
94,2,2,3
129,4,2,3
38,3,2,3
48,1,2,3
18,2,2,3
120,4,2,3
51,4,2,3
87,1,2,3
9,2,2,3
99,2,2,4
106,2,2,4
37,3,2,4
81,5,2,4
11,5,2,4
79,5,2,4
78,4,2,4
8,3,2,4
88,2,2,4
71,2,2,4
42,5,2,4
107,4,2,4
49,3,2,4
67,3,2,4
19,4,2,4
68,3,2,4
64,3,2,4
27,4,2,4
112,4,2,4
86,2,2,4
13,1,2,4
31,4,2,4
41,3,2,4
53,3,2,4
25,2,2,4
3,3,2,4
95,2,2,4
57,1,2,4
91,4,2,4
24,4,2,4
58,3,2,4
61,3,2,4
23,4,2,4
10,2,2,4
32,4,2,4
101,2,2,4
43,3,2,4
98,4,2,4
90,4,2,4
47,4,2,4
114,5,2,4
127,3,2,4
125,3,2,4
62,4,3,1
96,4,3,1
68,3,3,1
80,5,3,1
37,3,3,1
47,4,3,1
72,3,3,1
87,2,3,1
30,3,3,1
88,3,3,1
104,3,3,1
28,4,3,1
79,5,3,1
25,3,3,1
61,3,3,1
103,3,3,1
82,4,3,1
110,3,3,1
32,3,3,1
20,5,3,1
128,4,3,1
52,5,3,1
111,5,3,1
12,2,3,1
8,3,3,1
43,4,3,1
99,3,3,1
45,2,3,1
21,5,3,1
49,5,3,1
75,2,3,1
11,3,3,2
16,1,3,2
54,1,3,2
9,4,3,2
77,4,3,2
84,4,3,2
126,1,3,2
38,2,3,2
31,4,3,2
109,4,3,2
120,4,3,2
7,2,3,2
40,3,3,2
71,1,3,2
35,2,3,2
19,3,3,2
15,3,3,2
41,2,3,2
4,3,3,2
131,4,3,2
93,2,3,2
95,2,3,2
114,3,3,2
98,3,3,2
97,3,3,2
18,2,3,2
13,3,3,2
117,3,3,2
122,3,3,2
65,4,3,2
26,4,3,3
108,4,3,3
125,5,3,3
78,3,3,3
70,4,3,3
36,3,3,3
14,4,3,3
67,5,3,3
3,3,3,3
85,5,3,3
44,4,3,3
60,5,3,3
86,3,3,3
64,3,3,3
53,4,3,3
127,5,3,3
55,4,3,3
33,3,3,3
46,3,3,3
73,5,3,3
22,4,3,3
81,3,3,3
76,3,3,3
58,4,3,3
113,2,3,3
63,2,3,3
112,4,3,3
42,5,3,3
132,5,3,3
29,4,3,3
116,1,3,4
34,3,3,4
90,3,3,4
10,3,3,4
69,3,3,4
107,4,3,4
124,2,3,4
5,3,3,4
92,4,3,4
94,3,3,4
121,4,3,4
91,3,3,4
23,3,3,4
118,1,3,4
129,3,3,4
106,2,3,4
115,3,3,4
51,2,3,4
24,3,3,4
50,3,3,4
56,3,3,4
89,3,3,4
123,1,3,4
39,4,3,4
134,2,3,4
27,3,3,4
83,3,3,4
119,2,3,4
59,2,3,4
48,1,3,4
133,3,3,4
102,3,3,4
105,3,3,4
57,3,3,4
17,3,3,4
101,3,3,4
130,2,3,4
1,3,3,4
6,2,3,4
74,3,3,4
2,3,3,4
100,3,3,4
66,3,3,4
3,4,4,1
41,3,4,1
125,2,4,1
103,3,4,1
106,3,4,1
35,2,4,1
68,4,4,1
121,3,4,1
4,4,4,1
73,3,4,1
117,3,4,1
70,3,4,1
38,3,4,1
12,3,4,1
62,3,4,1
87,5,4,1
11,2,4,1
123,1,4,1
60,3,4,1
124,4,4,1
44,3,4,1
127,3,4,1
96,3,4,1
114,4,4,1
19,5,4,1
56,4,4,1
7,3,4,1
97,3,4,1
80,3,4,1
24,2,4,1
45,2,4,1
84,3,4,2
47,4,4,2
92,2,4,2
61,3,4,2
40,4,4,2
75,3,4,2
