ExamineeID,Score,RaterID,Order
9,2,1,1
13,2,1,1
16,2,1,1
17,2,1,1
21,2,1,1
22,2,1,1
26,2,1,1
35,2,1,2
36,2,1,2
39,2,1,2
46,2,1,2
48,2,1,2
56,2,1,2
59,2,1,2
60,2,1,2
82,2,1,3
87,2,1,3
89,2,1,3
97,2,1,4
101,2,1,4
115,2,1,4
116,2,1,4
119,2,1,4
123,2,1,4
1,3,1,1
4,3,1,1
5,3,1,1
6,3,1,1
8,3,1,1
10,3,1,1
11,3,1,1
12,3,1,1
15,3,1,1
24,3,1,1
33,3,1,2
37,3,1,2
38,3,1,2
41,3,1,2
43,3,1,2
49,3,1,2
53,3,1,2
57,3,1,2
62,3,1,3
63,3,1,3
64,3,1,3
65,3,1,3
66,3,1,3
68,3,1,3
69,3,1,3
70,3,1,3
73,3,1,3
74,3,1,3
75,3,1,3
76,3,1,3
77,3,1,3
79,3,1,3
84,3,1,3
85,3,1,3
86,3,1,3
93,3,1,4
99,3,1,4
102,3,1,4
105,3,1,4
112,3,1,4
117,3,1,4
122,3,1,4
128,3,1,4
129,3,1,4
130,3,1,4
134,3,1,4
7,4,1,1
14,4,1,1
19,4,1,1
23,4,1,1
25,4,1,1
28,4,1,1
31,4,1,1
32,4,1,2
34,4,1,2
40,4,1,2
45,4,1,2
47,4,1,2
51,4,1,2
52,4,1,2
55,4,1,2
58,4,1,2
67,4,1,3
71,4,1,3
72,4,1,3
78,4,1,3
80,4,1,3
81,4,1,3
83,4,1,3
88,4,1,3
90,4,1,3
91,4,1,3
92,4,1,4
95,4,1,4
96,4,1,4
98,4,1,4
103,4,1,4
104,4,1,4
106,4,1,4
107,4,1,4
108,4,1,4
110,4,1,4
111,4,1,4
113,4,1,4
114,4,1,4
118,4,1,4
120,4,1,4
121,4,1,4
124,4,1,4
126,4,1,4
127,4,1,4
131,4,1,4
132,4,1,4
133,4,1,4
2,5,1,1
3,5,1,1
18,5,1,1
20,5,1,1
27,5,1,1
29,5,1,1
30,5,1,1
42,5,1,2
44,5,1,2
61,5,1,2
94,5,1,4
100,5,1,4
109,5,1,4
125,5,1,4
16,1,2,1
92,1,2,1
98,1,2,2
82,1,2,2
56,1,2,2
37,1,2,2
127,1,2,2
119,1,2,2
36,1,2,2
113,1,2,3
71,1,2,3
59,1,2,3
22,1,2,3
13,1,2,4
123,1,2,4
46,1,2,4
89,1,2,4
106,1,2,4
103,1,2,4
8,2,2,1
116,2,2,1
50,2,2,1
7,2,2,1
75,2,2,1
43,2,2,1
17,2,2,1
99,2,2,2
74,2,2,2
77,2,2,2
15,2,2,2
64,2,2,2
38,2,2,2
122,2,2,2
86,2,2,2
54,2,2,3
51,2,2,3
96,2,2,3
62,2,2,3
35,2,2,3
45,2,2,3
57,2,2,3
44,2,2,3
9,2,2,4
85,2,2,4
95,2,2,4
18,2,2,4
134,2,2,4
25,2,2,4
66,2,2,4
105,2,2,4
24,3,2,1
132,3,2,1
126,3,2,1
124,3,2,1
63,3,2,1
53,3,2,1
14,3,2,1
107,3,2,1
1,3,2,1
65,3,2,1
130,3,2,1
110,3,2,2
21,3,2,2
48,3,2,2
111,3,2,2
40,3,2,2
101,3,2,2
28,3,2,2
93,3,2,2
20,3,2,3
112,3,2,3
68,3,2,3
102,3,2,3
70,3,2,3
129,3,2,3
31,3,2,3
42,3,2,3
118,3,2,3
39,3,2,3
10,3,2,3
32,3,2,3
108,3,2,4
83,3,2,4
4,3,2,4
78,3,2,4
73,3,2,4
94,3,2,4
121,3,2,4
23,3,2,4
117,3,2,4
6,3,2,4
76,3,2,4
34,3,2,4
67,3,2,4
81,3,2,4
61,3,2,4
47,3,2,4
12,3,2,4
120,3,2,4
88,3,2,4
72,3,2,4
97,4,2,1
133,4,2,1
80,4,2,1
3,4,2,1
55,4,2,1
125,4,2,1
79,4,2,2
29,4,2,2
11,4,2,2
115,4,2,2
69,4,2,2
2,4,2,3
104,4,2,3
33,4,2,3
131,4,2,3
27,4,2,4
60,4,2,4
128,4,2,4
19,4,2,4
49,4,2,4
26,4,2,4
41,4,2,4
87,4,2,4
52,5,2,1
114,5,2,1
58,5,2,1
5,5,2,1
84,5,2,1
100,5,2,2
90,5,2,2
91,5,2,3
30,5,2,3
109,5,2,4
127,2,3,1
16,3,3,1
48,3,3,1
57,3,3,1
87,3,3,1
27,3,3,1
85,3,3,1
22,3,3,1
13,3,3,1
37,3,3,1
98,3,3,1
9,3,3,2
101,3,3,2
7,3,3,2
124,3,3,2
54,3,3,2
116,3,3,2
71,3,3,2
12,3,3,2
58,3,3,2
122,3,3,3
123,3,3,3
51,3,3,3
118,3,3,3
69,3,3,3
113,3,3,4
119,3,3,4
59,3,3,4
74,3,3,4
46,3,3,4
36,3,3,4
26,3,3,4
18,4,3,1
56,4,3,1
28,4,3,1
39,4,3,1
125,4,3,1
73,4,3,1
33,4,3,1
99,4,3,1
76,4,3,1
43,4,3,1
67,4,3,1
128,4,3,1
