ExamineeID,TaskID,RaterID,Score,Order,Date
8,2,2,1,1,2015/12/19 1:51
15,2,2,1,1,2015/12/19 1:57
5,2,3,1,1,2015/12/11 18:15
16,2,3,1,1,2015/12/11 18:28
23,2,3,1,2,2015/12/11 18:33
4,2,7,1,2,2015/12/17 22:47
25,2,7,1,2,2015/12/17 22:48
1,2,7,1,2,2015/12/17 22:51
33,2,7,1,3,2015/12/17 22:53
13,2,7,1,3,2015/12/17 22:55
6,2,7,1,3,2015/12/17 22:57
16,2,7,1,3,2015/12/17 22:57
23,2,7,1,4,2015/12/17 22:59
8,2,7,1,4,2015/12/17 23:01
15,2,7,1,4,2015/12/17 23:05
16,2,8,1,4,2015/12/15 18:29
1,2,9,1,5,2015/12/21 17:44
24,2,9,1,5,2015/12/21 17:44
16,2,9,1,5,2015/12/21 17:45
8,2,9,1,6,2015/12/21 17:47
10,2,9,1,6,2015/12/21 17:47
12,2,10,1,6,2015/12/18 20:26
6,2,13,1,7,2015/12/20 14:30
16,2,13,1,7,2015/12/20 14:31
14,2,13,1,7,2015/12/20 14:31
18,2,13,1,8,2015/12/20 14:36
10,2,13,1,8,2015/12/20 14:41
1,2,20,1,8,2015/12/16 16:30
15,2,20,1,9,2015/12/16 16:56
16,2,21,1,9,2015/12/15 17:23
16,2,25,1,9,2015/12/16 14:39
23,2,25,1,10,2015/12/16 14:40
15,2,25,1,10,2015/12/16 14:43
25,2,26,1,10,2015/12/20 11:42
23,2,26,1,1,2015/12/20 11:58
15,2,26,1,1,2015/12/20 12:05
6,2,30,1,1,2015/12/11 14:24
1,2,30,1,1,2015/12/11 14:25
13,2,30,1,2,2015/12/11 14:26
30,2,30,1,2,2015/12/11 14:27
23,2,30,1,2,2015/12/11 14:27
8,2,30,1,2,2015/12/11 14:29
15,2,30,1,3,2015/12/11 14:30
11,2,31,1,3,2015/12/15 21:20
16,2,31,1,3,2015/12/15 21:30
11,2,1,2,3,2015/12/21 22:51
1,2,1,2,4,2015/12/21 22:55
15,2,1,2,4,2015/12/21 23:06
6,2,2,2,4,2015/12/11 14:51
16,2,2,2,4,2015/12/15 16:16
1,2,2,2,5,2015/12/15 16:21
13,2,2,2,5,2015/12/15 16:32
23,2,2,2,5,2015/12/19 1:50
11,2,3,2,6,2015/12/11 18:14
27,2,3,2,6,2015/12/11 18:15
32,2,3,2,6,2015/12/11 18:17
29,2,3,2,7,2015/12/11 18:18
33,2,3,2,7,2015/12/11 18:23
13,2,3,2,7,2015/12/11 18:25
30,2,3,2,8,2015/12/11 18:27
14,2,3,2,8,2015/12/11 18:30
9,2,3,2,8,2015/12/11 18:34
10,2,3,2,9,2015/12/19 14:16
34,2,3,2,9,2015/12/19 14:17
17,2,4,2,9,2015/12/19 12:10
24,2,4,2,10,2015/12/19 12:13
30,2,4,2,10,2015/12/19 12:14
9,2,4,2,10,2015/12/19 12:16
34,2,4,2,1,2015/12/19 12:19
31,2,5,2,1,2015/12/11 22:03
20,2,5,2,1,2015/12/11 22:23
16,2,5,2,1,2015/12/11 22:28
22,2,5,2,2,2015/12/11 22:49
27,2,6,2,2,2015/12/14 14:28
5,2,6,2,2,2015/12/14 14:28
29,2,6,2,2,2015/12/14 14:31
24,2,6,2,3,2015/12/14 14:31
30,2,6,2,3,2015/12/14 14:35
16,2,6,2,3,2015/12/14 14:36
23,2,6,2,3,2015/12/14 14:37
8,2,6,2,4,2015/12/14 14:38
11,2,7,2,4,2015/12/17 22:43
27,2,7,2,4,2015/12/17 22:45
5,2,7,2,4,2015/12/17 22:46
29,2,7,2,5,2015/12/17 22:50
24,2,7,2,5,2015/12/17 22:52
12,2,7,2,5,2015/12/17 22:54
26,2,7,2,6,2015/12/17 22:56
18,2,7,2,6,2015/12/17 22:59
10,2,7,2,6,2015/12/17 23:02
34,2,7,2,7,2015/12/17 23:03
11,2,8,2,7,2015/12/15 18:18
27,2,8,2,7,2015/12/15 18:19
30,2,8,2,8,2015/12/15 18:28
14,2,8,2,8,2015/12/15 18:30
23,2,8,2,8,2015/12/15 18:31
34,2,8,2,9,2015/12/15 18:35
15,2,8,2,9,2015/12/15 18:38
31,2,9,2,9,2015/12/21 17:42
2,2,9,2,10,2015/12/21 17:42
17,2,9,2,10,2015/12/21 17:42
11,2,9,2,10,2015/12/21 17:43
4,2,9,2,1,2015/12/21 17:43
