ExamineeID,TaskID,RaterID,Score,Order,Date
31,0,1,4,1,2015/12/21 15:58
2,0,1,4,2,2015/12/21 21:21
17,0,1,2,3,2015/12/21 21:23
11,0,1,3,4,2015/12/21 21:24
27,0,1,1,5,2015/12/21 21:25
5,0,1,3,6,2015/12/21 21:26
4,0,1,3,7,2015/12/21 21:27
25,0,1,4,8,2015/12/21 21:28
32,0,1,3,9,2015/12/21 21:33
29,0,1,2,10,2015/12/21 21:37
1,0,1,4,11,2015/12/21 21:39
24,0,1,1,12,2015/12/21 21:39
33,0,1,5,13,2015/12/21 21:40
12,0,1,4,14,2015/12/21 21:41
13,0,1,2,15,2015/12/21 21:41
20,0,1,4,16,2015/12/21 21:43
26,0,1,4,17,2015/12/21 21:44
30,0,1,1,18,2015/12/21 21:44
6,0,1,5,19,2015/12/21 21:45
16,0,1,2,20,2015/12/21 21:46
14,0,1,5,21,2015/12/21 21:47
3,0,1,2,22,2015/12/21 21:47
18,0,1,3,23,2015/12/21 21:48
23,0,1,2,24,2015/12/21 21:48
9,0,1,5,25,2015/12/21 22:22
28,0,1,2,26,2015/12/21 22:23
8,0,1,3,27,2015/12/21 22:23
10,0,1,3,28,2015/12/21 22:25
34,0,1,2,29,2015/12/21 22:25
7,0,1,4,30,2015/12/21 22:26
22,0,1,2,31,2015/12/21 22:27
19,0,1,2,32,2015/12/21 22:28
15,0,1,4,33,2015/12/21 22:29
21,0,1,2,34,2015/12/21 22:30
31,1,1,3,35,2015/12/21 22:31
2,1,1,4,36,2015/12/21 22:31
17,1,1,4,37,2015/12/21 22:32
11,1,1,5,38,2015/12/21 22:32
27,1,1,3,39,2015/12/21 22:33
5,1,1,3,40,2015/12/21 22:34
4,1,1,4,41,2015/12/21 22:34
25,1,1,4,42,2015/12/21 22:35
32,1,1,5,43,2015/12/21 22:35
1,1,1,2,44,2015/12/21 22:36
24,1,1,2,45,2015/12/21 22:37
33,1,1,3,46,2015/12/21 22:37
12,1,1,4,47,2015/12/21 22:37
13,1,1,4,48,2015/12/21 22:38
20,1,1,3,49,2015/12/21 22:38
26,1,1,4,50,2015/12/21 22:39
30,1,1,4,51,2015/12/21 22:40
29,1,1,3,52,2015/12/21 22:40
6,1,1,3,53,2015/12/21 22:41
16,1,1,2,54,2015/12/21 22:41
14,1,1,3,55,2015/12/21 22:42
3,1,1,4,56,2015/12/21 22:42
18,1,1,4,57,2015/12/21 22:43
23,1,1,3,58,2015/12/21 22:43
9,1,1,2,59,2015/12/21 22:43
28,1,1,3,60,2015/12/21 22:44
8,1,1,3,61,2015/12/21 22:44
10,1,1,4,62,2015/12/21 22:45
34,1,1,4,63,2015/12/21 22:45
7,1,1,4,64,2015/12/21 22:46
22,1,1,4,65,2015/12/21 22:46
19,1,1,3,66,2015/12/21 22:47
15,1,1,2,67,2015/12/21 22:47
21,1,1,5,68,2015/12/21 22:49
31,2,1,4,69,2015/12/21 22:50
2,2,1,4,70,2015/12/21 22:50
17,2,1,4,71,2015/12/21 22:51
11,2,1,2,72,2015/12/21 22:51
27,2,1,5,73,2015/12/21 22:52
5,2,1,4,74,2015/12/21 22:53
4,2,1,4,75,2015/12/21 22:53
25,2,1,3,76,2015/12/21 22:54
32,2,1,4,77,2015/12/21 22:54
29,2,1,4,78,2015/12/21 22:54
1,2,1,2,79,2015/12/21 22:55
24,2,1,3,80,2015/12/21 22:55
33,2,1,4,81,2015/12/21 22:56
12,2,1,5,82,2015/12/21 22:56
13,2,1,5,83,2015/12/21 22:57
20,2,1,4,84,2015/12/21 22:57
26,2,1,3,85,2015/12/21 22:58
30,2,1,3,86,2015/12/21 22:58
6,2,1,3,87,2015/12/21 22:59
16,2,1,3,88,2015/12/21 22:59
14,2,1,4,89,2015/12/21 23:00
3,2,1,3,90,2015/12/21 23:00
18,2,1,3,91,2015/12/21 23:01
23,2,1,3,92,2015/12/21 23:02
9,2,1,3,93,2015/12/21 23:02
28,2,1,3,94,2015/12/21 23:03
