"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
60,10,3,0.317364312272705,0.412720842166554,0.502817367908388,0.0836093975387212,-0.057750205454518,2.08516641724433e-18,-0.0729975713116054,-1.30537941567255e-17,1.0007471747721,1.00772664999061
60,15,3,0.282842705085593,0.582416713860842,0.573391307317356,0.0685927088671885,-0.062918626018631,-1.90141955999645e-18,-0.0278725488482595,-1.06902334207071e-17,1.00135059622928,1.01000818735459
60,10,5,0.342693276791473,0.571624060854195,0.674019941783825,0.100061900495182,0.117413222871902,6.58961139777744e-18,0.22018640521557,-1.7347234759768e-18,0.999951555129053,1.00560839830552
60,15,5,0.253853541065939,0.498231459329233,0.572894817773075,0.0796060053756033,-0.0336920260536344,-3.60929773843161e-18,-0.0376112209001983,-2.35922392732846e-17,1.00068556315761,1.00869769958743
60,10,10,0.346655439123983,0.470306748603351,0.635189236546059,0.099334186328601,0.060027654744542,-3.19365302432761e-18,0.0459617834701962,1.73472347597681e-17,0.999640983735861,1.00403455012498
60,15,10,0.278690694699964,0.474127197712025,0.717749855253539,0.0836460861355869,0.0402559812493953,-3.05419751989167e-18,0.00591825272293407,1.65666091955785e-17,1.00001583511661,1.0054005800794
90,10,3,0.315352634783939,0.502618975373351,0.566733969739349,0.0642001437811553,-0.0721147152722536,8.74259974310842e-18,-0.0341898821161762,-5.8113236445223e-18,1.00029974915176,1.00771333616546
90,15,3,0.262326400068651,0.422916178710515,0.514095827484306,0.076882816191026,-0.0463162536034303,3.51178730554368e-18,-0.0683057557453011,-6.93889390390727e-18,1.00105550694257,1.00908514756435
90,10,5,0.313220722171121,0.467725952057219,0.550206506038619,0.0712819976969966,-0.0261533731533826,-6.96972590318729e-18,-0.111475445625385,-8.67361737988407e-19,1.00026579477103,1.00774137249068
90,15,5,0.309299721832364,0.782929776426242,0.694395616042134,0.0828385740850917,0.00100364478076488,2.30582697033354e-18,-0.077424393403652,1.94289029309403e-17,1.0001385198498,1.00757830951594
90,10,10,0.322628245554033,0.514967891428188,0.612054753452892,0.094970520721408,-0.02403072261396,-1.3892970873394e-18,-0.0332955993232747,1.07552855510562e-17,0.999909173830698,1.00701092549596
90,15,10,0.280557193198822,0.531578701366373,0.593987144763346,0.0761346148936628,0.0442217158929481,6.70739415253631e-18,-0.07739346378545,3.72965547335016e-18,1.00022181040189,1.00805359186487
120,10,3,0.312938491588768,0.534660935676672,0.587661682875424,0.0659981441904043,0.0957214625717766,-1.52811519948254e-18,0.0717993392315818,-6.07153216591882e-18,1.00019510368961,1.0083234944399
120,15,3,0.269622744905466,0.48407361378653,0.460312514717894,0.0558759194352818,-0.0299470441369806,-1.61803621716306e-18,-0.105503339488671,1.22298005056365e-17,1.00180774791432,1.01535626974302
120,10,5,0.325375688256358,0.446523835945663,0.533050076053354,0.0653925930150288,0.0529448058057789,1.10778356973706e-18,0.0821009025561403,2.59774840527527e-17,1.00020269162286,1.00986953490869
120,15,5,0.269260936785406,0.456632924605617,0.575540156146662,0.0671358554767016,-0.0132337598331696,4.63270553284956e-19,0.0135559914493949,9.0205620750794e-18,1.00151711538101,1.01515638003644
120,10,10,0.323702061813174,0.448098676311005,0.613886256134109,0.0812363027436916,-0.016701244186039,6.9352347215751e-18,-0.0796681580849373,3.55618312575245e-18,0.999729859404688,1.00678017526836
120,15,10,0.277649818050474,0.50871876460494,0.638686426016226,0.0687375606658308,-0.0217448735874666,-8.3302866919303e-19,-0.0525162212360143,-2.54136989230602e-17,0.999980828883659,1.00754652670929
