"","sd","se_mean"
"theta[1]",0.177524935613671,0.0128416894514236
"theta[2]",0.177868616478749,0.0116749552968292
"theta[3]",0.181216960862094,0.013621391706805
"theta[4]",0.173939640175013,0.0122612203776937
"theta[5]",0.17666155528923,0.0130862183147999
"theta[6]",0.17667854313771,0.0128798143291154
"theta[7]",0.17987947371789,0.0125375269145792
"theta[8]",0.177888184558852,0.0122588663940505
"theta[9]",0.174475922700098,0.0123212123997987
"theta[10]",0.173497717728855,0.0122206442261386
"theta[11]",0.177173327850135,0.0123731944371204
"theta[12]",0.169558362577757,0.0123466593472543
"theta[13]",0.169902400243178,0.0122985241770356
"theta[14]",0.173139786061378,0.0124487329567988
"theta[15]",0.182991448771051,0.0131460604292116
"theta[16]",0.179332033035595,0.0134028812356854
"theta[17]",0.174459965328549,0.0119403124422574
"theta[18]",0.172202008194164,0.0122063541771203
"theta[19]",0.171988629846701,0.012502362666322
"theta[20]",0.177404805770273,0.0124251825892696
"theta[21]",0.172991212447011,0.0131398295371656
"theta[22]",0.175248270443629,0.0121416708299893
"theta[23]",0.179297389653124,0.0129154604837521
"theta[24]",0.176747923777453,0.0123630746932967
"theta[25]",0.173767376013034,0.0127135312392893
"theta[26]",0.179656079804701,0.0128880579314349
"theta[27]",0.174766866817941,0.0124964471073401
"theta[28]",0.176011874635184,0.0122691759982578
"theta[29]",0.18020211193561,0.0128434739058594
"theta[30]",0.17262933617338,0.0126144473894033
"theta[31]",0.172267234340305,0.0121513318051106
"theta[32]",0.176605621326353,0.0115617568182666
"theta[33]",0.174967352437613,0.0126894989308844
"theta[34]",0.174456502362814,0.0126801067285426
