"","sd","se_mean"
"theta[1]",0.173168236638228,0.014448559334805
"theta[2]",0.17346588152514,0.0135565656701493
"theta[3]",0.173166022480226,0.0134358343486556
"theta[4]",0.170609516334288,0.0137488895318541
"theta[5]",0.174418050220828,0.014979438402734
"theta[6]",0.173038640741212,0.0148422901710407
"theta[7]",0.175160210352265,0.0142562285472873
"theta[8]",0.171698927716959,0.0140981227142743
"theta[9]",0.167547635405605,0.0137938071793346
"theta[10]",0.171396413206455,0.0154250216089811
"theta[11]",0.168839780335089,0.0141680476041253
"theta[12]",0.173480674653098,0.0144227630305852
"theta[13]",0.166222132171167,0.0142317785076498
"theta[14]",0.16833973024555,0.0142817163698085
"theta[15]",0.175894738953166,0.0139155867080305
"theta[16]",0.192870011783885,0.0175047425810909
"theta[17]",0.171511764381616,0.0137344638988993
"theta[18]",0.168709260726979,0.0146228713403034
"theta[19]",0.17114822086288,0.0139684425649982
"theta[20]",0.171363497285811,0.0137340772259941
"theta[21]",0.169464812959504,0.0139126359639999
"theta[22]",0.170412585557454,0.0142968713162108
"theta[23]",0.186427529496171,0.0167075367948901
"theta[24]",0.179829071320378,0.015670543808329
"theta[25]",0.171051693702811,0.0151009058757174
"theta[26]",0.174807603874941,0.0139807576229775
"theta[27]",0.177517938910838,0.0154978632808977
"theta[28]",0.168971620498616,0.01373160901116
"theta[29]",0.173485944422834,0.0141460844368017
"theta[30]",0.17317336221641,0.0140302213275155
"theta[31]",0.17390071495094,0.0146976710540577
"theta[32]",0.166528948069593,0.0135206349501913
"theta[33]",0.170960619499388,0.0137437784127906
"theta[34]",0.169139565399065,0.0140635116154387
