"","sd","se_mean"
"theta[1]",0.260631764210444,0.0152232721768055
"theta[2]",0.263079011424186,0.0164309295939275
"theta[3]",0.250269679882265,0.0142894311129508
"theta[4]",0.244821186242392,0.0141582551042864
"theta[5]",0.254223193818607,0.0127494762431849
"theta[6]",0.243541331212177,0.0122733867823931
"theta[7]",0.273141161701788,0.0165601228782093
"theta[8]",0.26062542670739,0.0145246815093591
"theta[9]",0.237065529195188,0.0124069210362121
"theta[10]",0.235645060821785,0.0126270214924121
"theta[11]",0.272948296310418,0.0162629724755319
"theta[12]",0.265812946119462,0.0158118602216153
"theta[13]",0.241917502931168,0.012255741806882
"theta[14]",0.242092697570979,0.0127328733168553
"theta[15]",0.264419229796346,0.0173047925620612
"theta[16]",0.26600249045503,0.0143070815837983
"theta[17]",0.253962449556278,0.0147089876420333
"theta[18]",0.243829151413445,0.0126312239753534
"theta[19]",0.259261095563807,0.0127427652038938
"theta[20]",0.242689031995591,0.0138232162504242
"theta[21]",0.243631120079944,0.0137674645589566
"theta[22]",0.243826915070163,0.013464355684984
"theta[23]",0.248273990326705,0.0134846282080085
"theta[24]",0.247602042085626,0.0126738957716896
"theta[25]",0.253386327434097,0.0119465092870128
"theta[26]",0.256688478855071,0.0139821025065414
"theta[27]",0.250505749658285,0.0135876414701676
"theta[28]",0.240857181411431,0.0112040512634488
"theta[29]",0.251647047964319,0.013789726255603
"theta[30]",0.234008226398941,0.0124656637894674
"theta[31]",0.250608883095052,0.0138681928462637
"theta[32]",0.261839644130446,0.0153181726710203
"theta[33]",0.253584786374946,0.0148107997396795
"theta[34]",0.246182290689694,0.0135064383935114
