"","sd","se_mean"
"theta[1]",0.233947028972383,0.00597250681912541
"theta[2]",0.217449844494435,0.00552223489629132
"theta[3]",0.225062083131647,0.00607246347255991
"theta[4]",0.236507045966398,0.00695923885694129
"theta[5]",0.236695141758133,0.00597473457496653
"theta[6]",0.238215878496021,0.00622229061530399
"theta[7]",0.229006822713327,0.00663650098697161
"theta[8]",0.2248599039923,0.00711582349990457
"theta[9]",0.261691629237485,0.00702356827779717
"theta[10]",0.235573940314425,0.00641627621565244
"theta[11]",0.240659687351661,0.00643115320193587
"theta[12]",0.231036228198439,0.00605659149012038
"theta[13]",0.250707837881346,0.00648139989218955
"theta[14]",0.273953210321618,0.00786252164233204
"theta[15]",0.232537101497091,0.0059018911045895
"theta[16]",0.258126479744414,0.00664308386156341
"theta[17]",0.224013566498281,0.00588705155897935
"theta[18]",0.226742217176733,0.00533172900941246
"theta[19]",0.263631934713533,0.00707287525859995
"theta[20]",0.231148080471962,0.00593688908190033
"theta[21]",0.217598997265862,0.00613860530923547
"theta[22]",0.223331455383082,0.00567343391471772
"theta[23]",0.279244439295471,0.00806870410403476
"theta[24]",0.244936995881617,0.00652700896669481
"theta[25]",0.224919683973164,0.00581314880006615
"theta[26]",0.222040479534912,0.00550596732860552
"theta[27]",0.257960244308522,0.00691028927214637
"theta[28]",0.229724162029335,0.0063380385724953
"theta[29]",0.221681272579431,0.00555282935188833
"theta[30]",0.238256255024986,0.00594214298610042
"theta[31]",0.251259591983336,0.00754871515756521
"theta[32]",0.231515803186102,0.00634644774059628
"theta[33]",0.230253166298816,0.00611987746241681
"theta[34]",0.228613942721596,0.00619191143492583
