"","sd","se_mean"
"theta[1]",0.207949258344296,0.0117493464529945
"theta[2]",0.200327219775216,0.0119227737767491
"theta[3]",0.201843256827843,0.0122516870031022
"theta[4]",0.2055194193262,0.0114805965106086
"theta[5]",0.21846510536169,0.0113347707691967
"theta[6]",0.214704065821519,0.0121086901049161
"theta[7]",0.201469324538032,0.0120523797564607
"theta[8]",0.192027254965854,0.0116648918620594
"theta[9]",0.207468553034691,0.0115529696976835
"theta[10]",0.206995188898688,0.0110977812069946
"theta[11]",0.203573761754525,0.0118968604398723
"theta[12]",0.212845476189295,0.0116436089652593
"theta[13]",0.205840276617918,0.0108980534210469
"theta[14]",0.210536197375752,0.0116198068969503
"theta[15]",0.197440080872807,0.012247904977129
"theta[16]",0.232887606638414,0.0143911161924397
"theta[17]",0.197045573797545,0.011633177270939
"theta[18]",0.21515637438801,0.0111554851542839
"theta[19]",0.204523833994271,0.011725100723381
"theta[20]",0.205027813093373,0.0114968944614568
"theta[21]",0.192949454677723,0.011405137374978
"theta[22]",0.202050234045198,0.0116875353898521
"theta[23]",0.222228626083854,0.0127723617215994
"theta[24]",0.21765235576694,0.0120338667551089
"theta[25]",0.208644167823341,0.0115938677433266
"theta[26]",0.20005449097623,0.0116319832815001
"theta[27]",0.225930381511313,0.0115490500046936
"theta[28]",0.197395458383484,0.0118586838771272
"theta[29]",0.205164491185571,0.0117344258077743
"theta[30]",0.213621564579735,0.0137086876575629
"theta[31]",0.215310742291257,0.0116358552004078
"theta[32]",0.201784381191714,0.0122230730380428
"theta[33]",0.194020143562987,0.011688513107537
"theta[34]",0.210016620657947,0.0110410413479096
