"","sd","se_mean"
"theta[1]",0.156730953060973,0.0138744703945654
"theta[2]",0.166542512312507,0.0151352945475394
"theta[3]",0.162167404234575,0.0147596468626777
"theta[4]",0.165285646003834,0.0139051669473967
"theta[5]",0.166223210977578,0.0145607547896723
"theta[6]",0.167797611323591,0.014567708387278
"theta[7]",0.165990605135388,0.0141402684151214
"theta[8]",0.162047114708341,0.0146353702091676
"theta[9]",0.173911286470381,0.0148817115752843
"theta[10]",0.162230693277056,0.0142720349746985
"theta[11]",0.162403903941968,0.0143403183003732
"theta[12]",0.163168597189626,0.0143824980782944
"theta[13]",0.16687872737107,0.0143628556277933
"theta[14]",0.175976366923727,0.0145533839143358
"theta[15]",0.166124484020524,0.0155061858831602
"theta[16]",0.172824614076013,0.0155229130664712
"theta[17]",0.164237123992147,0.0149656193782309
"theta[18]",0.160913790875658,0.0144999065202353
"theta[19]",0.177201790353444,0.0147718655683622
"theta[20]",0.155556598453773,0.014789090792352
"theta[21]",0.164144273511141,0.0145953801735686
"theta[22]",0.16396600512572,0.0141596875504608
"theta[23]",0.174925758464953,0.0151286813336834
"theta[24]",0.166671479026033,0.0142365157371558
"theta[25]",0.160704932696564,0.0148404772146091
"theta[26]",0.160710171123294,0.014287011191608
"theta[27]",0.172765893508216,0.014896244491408
"theta[28]",0.166664174196649,0.0148995426856151
"theta[29]",0.159642737697074,0.0152883445808781
"theta[30]",0.16473088811039,0.0143729369122198
"theta[31]",0.176113223998341,0.0152274659581478
"theta[32]",0.160070003694808,0.0145825582145956
"theta[33]",0.163502784495329,0.0150180925820909
"theta[34]",0.16586405729053,0.015995446822687
