                 sd    se_mean
theta[1]  0.1567310 0.01387447
theta[2]  0.1665425 0.01513529
theta[3]  0.1621674 0.01475965
theta[4]  0.1652856 0.01390517
theta[5]  0.1662232 0.01456075
theta[6]  0.1677976 0.01456771
theta[7]  0.1659906 0.01414027
theta[8]  0.1620471 0.01463537
theta[9]  0.1739113 0.01488171
theta[10] 0.1622307 0.01427203
theta[11] 0.1624039 0.01434032
theta[12] 0.1631686 0.01438250
theta[13] 0.1668787 0.01436286
theta[14] 0.1759764 0.01455338
theta[15] 0.1661245 0.01550619
theta[16] 0.1728246 0.01552291
theta[17] 0.1642371 0.01496562
theta[18] 0.1609138 0.01449991
theta[19] 0.1772018 0.01477187
theta[20] 0.1555566 0.01478909
theta[21] 0.1641443 0.01459538
theta[22] 0.1639660 0.01415969
theta[23] 0.1749258 0.01512868
theta[24] 0.1666715 0.01423652
theta[25] 0.1607049 0.01484048
theta[26] 0.1607102 0.01428701
theta[27] 0.1727659 0.01489624
theta[28] 0.1666642 0.01489954
theta[29] 0.1596427 0.01528834
theta[30] 0.1647309 0.01437294
theta[31] 0.1761132 0.01522747
theta[32] 0.1600700 0.01458256
theta[33] 0.1635028 0.01501809
theta[34] 0.1658641 0.01599545
                 sd    se_mean
theta[1]  0.1567310 0.01387447
theta[2]  0.1665425 0.01513529
theta[3]  0.1621674 0.01475965
theta[4]  0.1652856 0.01390517
theta[5]  0.1662232 0.01456075
theta[6]  0.1677976 0.01456771
theta[7]  0.1659906 0.01414027
theta[8]  0.1620471 0.01463537
theta[9]  0.1739113 0.01488171
theta[10] 0.1622307 0.01427203
theta[11] 0.1624039 0.01434032
theta[12] 0.1631686 0.01438250
theta[13] 0.1668787 0.01436286
theta[14] 0.1759764 0.01455338
theta[15] 0.1661245 0.01550619
theta[16] 0.1728246 0.01552291
theta[17] 0.1642371 0.01496562
theta[18] 0.1609138 0.01449991
theta[19] 0.1772018 0.01477187
theta[20] 0.1555566 0.01478909
theta[21] 0.1641443 0.01459538
theta[22] 0.1639660 0.01415969
theta[23] 0.1749258 0.01512868
theta[24] 0.1666715 0.01423652
theta[25] 0.1607049 0.01484048
theta[26] 0.1607102 0.01428701
theta[27] 0.1727659 0.01489624
theta[28] 0.1666642 0.01489954
theta[29] 0.1596427 0.01528834
theta[30] 0.1647309 0.01437294
theta[31] 0.1761132 0.01522747
theta[32] 0.1600700 0.01458256
theta[33] 0.1635028 0.01501809
theta[34] 0.1658641 0.01599545
        sd    se_mean 
0.16572616 0.01470457 
